has_current_account,has_pension_saving,has_savings_account,has_savings_account_starter,has_current_account_starter,bal_insurance_21,bal_insurance_23,cap_life_insurance_fixed_cap,cap_life_insurance_decreasing_cap,prem_fire_car_other_insurance,bal_personal_loan,bal_mortgage_loan,bal_current_account,bal_pension_saving,bal_savings_account,bal_savings_account_starter,bal_current_account_starter,visits_distinct_so,visits_distinct_so_areas
0,0,1,0,0,0,0,0,0,0,0,0,0,0,5280,0,0,1,1
0,0,1,0,0,0,0,0,124500,290,0,0,0,0,11660,0,0,2,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,30390,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,17600,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,40230,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,27120,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,25270,0,0,1,1
1,0,1,0,0,910,0,0,0,0,0,97780,70,0,37250,0,0,1,1
1,0,1,0,0,0,0,0,0,950,0,60000,0,0,8260,0,0,2,1
1,1,1,0,0,0,0,0,0,1080,0,0,4750,30180,22140,0,0,2,1
1,0,1,0,0,0,0,3120,0,870,0,0,1870,0,21380,0,0,2,1
1,0,0,0,0,0,0,0,0,0,0,0,5960,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,10290,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,5670,0,0,1,1
1,0,1,0,0,0,0,0,0,190,0,0,7550,0,39100,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,2370,0,33580,0,0,1,1
1,0,1,0,0,0,0,0,0,320,0,0,3540,0,2630,0,0,3,1
1,0,0,0,0,0,0,0,0,0,0,0,9220,0,0,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,370,0,6920,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,18940,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,7410,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,33480,0,0,1,1
1,0,1,0,0,380,0,0,84590,150,0,82140,1080,0,15370,0,0,2,1
1,0,1,0,0,0,0,0,0,1960,0,0,5730,0,7260,0,0,1,1
1,1,1,0,0,0,0,0,175000,950,0,102510,2020,1850,5400,0,0,3,1
1,0,1,0,0,0,0,0,0,0,0,0,310,0,18450,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,7410,0,0,0,0,1,1
1,0,1,0,0,0,0,0,0,1220,0,0,3250,0,26700,0,0,1,1
1,0,1,0,0,0,0,0,115000,990,10840,96230,1660,0,24500,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,37780,0,0,1,1
1,0,1,0,0,0,0,0,0,1510,0,0,980,0,36710,0,0,2,1
1,0,1,0,0,0,0,0,0,0,0,0,50,0,35130,0,0,1,1
1,0,1,0,0,0,0,0,0,980,0,0,8210,0,2020,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,1230,0,6700,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,5930,0,10880,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,2530,0,9840,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,13260,0,0,1,1
1,0,1,0,1,0,0,0,127500,0,0,0,330,0,13930,0,280,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,7270,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,26060,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,15180,0,0,1,1
1,0,1,0,0,0,0,0,62500,620,0,94290,1800,0,15530,0,0,2,1
0,0,1,0,0,0,0,0,100000,0,0,0,0,0,31120,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,17520,0,0,1,1
0,0,1,0,0,0,0,0,0,630,0,0,0,0,20210,0,0,1,1
0,0,1,0,0,0,0,0,0,890,0,0,0,0,28060,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,21410,0,0,1,1
1,1,1,0,0,0,0,0,102000,0,0,190670,70,580,9630,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,46540,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,10100,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,10930,0,0,1,1
1,0,0,0,0,0,0,0,0,720,0,0,12490,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,8160,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,15530,0,0,2,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,37700,0,0,1,1
0,0,1,0,0,0,0,0,0,680,0,0,0,0,38320,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,21150,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,32220,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,240,0,18440,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,17570,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,5710,0,0,1,1
0,0,1,0,0,0,0,0,0,80,0,0,0,0,48530,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,18720,0,0,1,1
1,0,0,0,0,7190,0,0,49580,580,0,64560,9110,0,0,0,0,4,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,5460,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,1480,0,7740,0,0,1,1
1,0,1,0,1,0,0,0,0,0,0,0,0,0,46420,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,1570,0,14490,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,9630,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,350,0,8640,0,0,1,1
1,0,1,0,0,20,0,0,45880,970,0,27000,2720,0,4890,0,0,3,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,10370,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,20,0,10530,0,0,1,1
1,0,0,0,0,0,0,0,375000,0,0,95060,14900,0,0,0,0,2,1
1,0,1,0,0,0,0,0,0,0,0,0,7970,0,15790,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,16710,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,1660,0,15850,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,8520,0,3310,0,0,1,1
0,0,1,0,0,0,0,0,0,580,0,0,0,0,27940,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,11560,0,0,1,1
1,0,1,0,0,6180,0,0,0,0,0,0,0,0,21580,0,0,1,1
1,0,1,0,0,8930,0,0,125000,0,12600,103150,6840,0,33840,0,0,3,1
1,0,1,0,0,1470,0,0,75000,60,2180,0,40,0,12090,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,36010,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,5030,0,0,1,1
1,0,1,0,0,0,0,0,0,770,18830,0,1820,0,5840,0,0,2,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,14090,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,5880,0,28760,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,980,0,40180,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,1,1
0,0,1,0,0,0,0,0,0,740,0,0,0,0,6680,0,0,2,2
0,0,1,0,0,2730,0,0,0,0,0,0,0,0,24370,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,33890,0,0,1,1
1,0,1,0,0,0,0,0,29750,0,8520,4750,2240,0,10600,0,0,3,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,15100,0,0,1,1
1,0,1,0,0,1130,0,0,0,2200,0,0,0,0,24960,0,0,2,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,8070,0,0,1,1
0,0,1,0,0,2360,0,0,0,0,0,0,0,0,14410,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,5190,0,0,1,1
1,0,1,0,0,0,0,0,0,360,0,19330,2070,0,14150,0,0,2,2
1,0,1,0,0,0,0,0,154000,510,0,105790,3650,0,31000,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,39210,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,29530,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,9740,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,410,0,9080,0,0,1,1
0,0,1,0,0,0,0,0,0,80,0,0,0,0,10250,0,0,2,1
1,0,1,0,0,0,0,0,0,670,8540,3970,0,0,11320,0,0,1,1
0,0,1,0,0,0,0,0,0,100,0,0,0,0,13400,0,0,1,1
1,0,0,0,0,0,0,0,0,260,0,0,5490,0,0,0,0,1,1
1,0,1,0,0,0,0,0,13500,960,4150,154290,3110,0,3640,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,40580,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,19240,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,32010,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,13010,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,12740,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,3310,0,27970,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,9790,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,400,0,22510,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,10410,0,0,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,540,0,4890,0,0,1,1
1,0,1,0,0,0,0,0,0,160,0,0,3110,0,18250,0,0,1,1
1,1,1,0,0,7230,0,0,0,350,0,0,11870,11660,0,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,12420,0,12190,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,1310,0,6050,0,0,1,1
0,0,1,0,0,0,0,0,0,1320,0,0,0,0,6120,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,2400,0,9670,0,0,1,1
1,0,0,0,0,0,0,0,0,60,0,0,8930,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,26800,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,5160,0,3500,0,0,1,1
1,0,1,0,0,0,0,0,0,1420,0,0,1830,0,34000,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,910,0,32000,0,0,1,1
1,0,1,0,0,0,0,0,80000,0,5880,135850,2370,0,7520,0,0,1,1
0,0,1,0,0,0,0,27730,0,0,0,0,0,0,15980,0,0,2,1
1,0,1,0,0,0,0,0,0,0,0,0,2780,0,8380,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,1780,0,38490,0,0,1,1
1,0,1,0,0,0,0,0,107000,0,0,69780,270,0,5750,0,0,2,1
0,0,1,0,0,1080,0,0,0,0,0,0,0,0,16180,0,0,1,1
0,0,1,0,0,0,0,0,0,610,0,0,0,0,18170,0,0,2,1
1,1,1,0,0,0,0,0,0,0,0,0,950,6250,32700,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,11510,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,34790,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,20260,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,3120,0,4130,0,0,2,2
1,0,1,0,0,0,0,0,0,740,0,0,140,0,29670,0,0,2,1
1,0,1,0,0,0,0,0,0,610,0,0,1470,0,10900,0,0,1,1
1,0,1,0,0,0,0,0,0,510,0,0,3990,0,13370,0,0,2,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,22850,0,0,1,1
0,0,1,0,0,0,0,0,0,390,0,0,0,0,49440,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,36210,0,0,1,1
0,0,1,0,0,3820,0,0,0,0,0,0,0,0,20600,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,5530,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,26500,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,15920,0,0,1,1
1,0,1,0,0,6980,0,0,0,70,0,0,1120,0,22170,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,9960,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,440,0,4620,0,0,1,1
1,0,1,0,0,0,0,0,125000,390,0,0,3040,0,36400,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,31310,0,0,1,1
1,0,1,0,0,3990,0,0,0,1290,24860,0,840,0,8230,0,0,2,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,17270,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,7090,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,16240,0,0,1,1
0,0,1,0,0,6880,0,0,0,0,0,0,0,0,5520,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,3140,0,3830,0,0,1,1
1,0,1,0,0,0,0,0,0,370,0,0,40,0,22150,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,1230,0,7860,0,0,1,1
1,1,1,0,0,0,0,0,0,1490,10700,0,2270,2360,3380,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,15500,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,5050,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,35130,0,0,1,1
1,0,1,0,1,0,0,0,0,350,0,0,2890,0,230,0,2890,1,1
1,0,1,0,0,0,0,0,0,0,0,0,10720,0,2400,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,5660,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,9080,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,700,0,16400,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,48920,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,31160,0,0,1,1
1,0,1,0,0,5710,0,0,130600,350,0,219520,1480,0,10430,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,2170,0,16480,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,30150,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,8260,0,0,1,1
0,0,1,0,0,0,0,0,0,390,0,0,0,0,44420,0,0,1,1
1,0,1,0,0,0,0,0,0,620,0,0,12580,0,26690,0,0,2,1
1,0,1,0,0,0,0,0,0,0,0,0,430,0,18510,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,5550,0,0,2,1
1,0,1,0,0,0,0,0,0,0,0,0,3290,0,4470,0,0,1,1
0,0,1,0,0,0,0,0,44000,0,0,53820,0,0,25610,0,0,3,3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,40500,0,0,1,1
0,0,1,0,0,0,0,0,0,80,0,0,0,0,22970,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,9610,0,0,1,1
1,0,1,0,0,8350,0,0,187000,510,0,167790,3490,0,4990,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,27570,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,8370,0,0,1,1
0,0,1,0,0,0,0,0,0,910,0,0,0,0,12290,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,50,0,33420,0,0,1,1
0,0,1,0,0,0,0,0,0,1010,0,0,0,0,32380,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,10200,0,0,1,1
0,0,1,0,0,3780,0,0,0,690,0,0,0,0,44990,0,0,2,1
1,0,1,0,0,0,0,0,95000,0,0,183860,2950,0,37850,0,0,2,1
1,0,1,0,0,0,0,0,75000,1770,0,45060,7590,0,11540,0,0,3,2
1,0,1,0,0,910,0,0,0,0,0,0,300,0,32780,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,36140,0,0,1,1
1,0,1,0,0,0,0,0,0,280,0,0,30,0,8570,0,0,1,1
0,0,1,0,0,3460,0,0,0,0,0,0,0,0,33530,0,0,1,1
1,0,1,0,0,0,0,0,0,430,0,135570,3600,0,32310,0,0,2,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,16730,0,0,1,1
1,0,0,0,0,0,0,0,0,790,0,0,6860,0,0,0,0,1,1
1,0,1,0,0,2700,0,0,62500,0,0,0,2420,0,10600,0,0,2,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,16290,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,9940,0,0,1,1
1,0,1,0,0,0,0,0,0,430,0,0,890,0,13310,0,0,2,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,15500,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,14990,0,0,1,1
1,0,1,0,0,0,0,0,0,370,0,0,160,0,10000,0,0,1,1
1,0,1,0,0,0,0,0,0,800,0,0,1810,0,34460,0,0,2,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,30540,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,10110,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,9740,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,5370,0,1400,0,0,1,1
0,0,1,0,0,0,0,0,0,90,0,0,0,0,23670,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,10040,0,0,1,1
1,0,1,0,0,0,0,0,0,810,15350,39000,530,0,8560,0,0,2,1
1,0,1,0,0,0,0,0,74370,100,0,0,11710,0,37480,0,0,2,1
1,0,1,0,0,0,0,0,0,0,0,0,110,0,13070,0,0,1,1
1,0,1,0,0,0,0,0,50000,0,0,42870,0,0,11680,0,0,1,1
1,0,1,0,0,0,0,0,173500,0,0,227390,800,0,13500,0,0,1,1
1,0,1,0,0,0,0,0,0,550,0,0,7670,0,14720,0,0,1,1
1,0,1,0,0,0,0,0,0,420,0,0,3100,0,38330,0,0,2,1
1,1,1,0,1,0,0,0,0,0,0,0,3090,4530,31680,0,3090,1,1
1,0,1,0,0,0,0,0,0,540,0,0,450,0,11150,0,0,2,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,7180,0,0,2,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,8130,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,42280,0,0,1,1
1,0,1,0,0,0,0,0,0,350,0,0,10,0,12080,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,3870,0,41860,0,0,1,1
1,0,1,0,0,1990,0,0,28510,400,0,0,300,0,14160,0,0,2,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,25660,0,0,1,1
1,0,1,1,0,0,0,0,0,800,0,0,1500,0,5200,5200,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,13510,0,0,1,1
0,0,1,0,0,0,0,0,0,220,0,0,0,0,10730,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,7060,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,8710,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,20730,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,20520,0,0,1,1
1,1,1,0,0,5110,0,0,100000,0,0,185130,6320,6120,1440,0,0,2,1
1,0,1,0,1,0,0,0,75000,230,0,330,1110,0,44400,0,560,2,2
0,0,1,0,0,0,0,0,0,470,0,0,0,0,15400,0,0,2,1
1,0,1,0,0,0,0,0,49580,0,12480,18470,0,0,25450,0,0,2,1
1,0,1,0,0,0,5620,0,0,0,0,0,4790,0,35060,0,0,2,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,13060,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,27740,0,0,3,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,10390,0,0,1,1
1,0,1,0,0,0,0,0,0,1200,0,0,3620,0,7780,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,70,0,6560,0,0,1,1
0,0,1,0,0,0,0,0,0,60,0,0,0,0,37460,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,11070,0,0,1,1
0,0,1,0,0,0,0,0,0,420,0,0,0,0,15060,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,25890,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,31320,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,37120,0,0,1,1
0,0,1,0,0,0,0,0,0,520,0,0,0,0,39420,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,6970,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,10160,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,27380,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,7530,0,0,2,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,12600,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,41340,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,31820,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,5700,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,5290,0,18130,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,660,0,10740,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,10,0,5050,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,12290,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,2440,0,34310,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,10,0,17930,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,1840,0,33980,0,0,2,2
1,0,1,0,0,0,0,0,76850,0,0,12740,80,0,9120,0,0,3,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,10060,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,130,0,5100,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,9940,0,860,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,41000,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,8600,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,10100,0,0,1,1
0,0,1,0,0,0,0,0,0,370,0,0,0,0,38420,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,7320,0,8300,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,29500,0,0,1,1
0,0,1,0,0,0,0,0,0,370,0,0,0,0,22280,0,0,2,2
1,0,1,0,0,0,0,0,0,0,0,0,2450,0,12150,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,5030,0,0,1,1
0,0,1,0,0,0,0,0,0,390,0,0,0,0,30840,0,0,1,1
1,0,1,0,0,0,0,0,0,330,0,184640,1770,0,30860,0,0,2,1
0,0,1,0,0,0,0,0,0,270,0,0,0,0,15860,0,0,2,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,26800,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,500,0,8010,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,34930,0,0,1,1
1,0,1,0,1,0,0,0,80000,0,0,98140,3680,0,35330,0,1110,3,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,16500,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,5090,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,46740,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,6830,0,0,1,1
1,0,1,0,0,0,0,0,0,690,0,0,500,0,36270,0,0,2,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,14310,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,33910,0,0,1,1
1,1,1,0,0,3700,0,0,0,0,0,0,0,35110,25780,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,15220,0,0,1,1
1,0,1,0,0,0,0,0,0,380,0,0,0,0,12500,0,0,1,1
0,0,1,0,0,0,0,0,0,880,0,0,0,0,14120,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,11480,0,0,1,1
1,0,1,0,0,0,0,0,100000,680,0,75700,4000,0,32120,0,0,1,1
1,0,1,0,0,0,0,0,0,250,0,0,3470,0,33560,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,70,0,19350,0,0,1,1
